"epoch","mse","A1_norm","A1_rank","A1_cond","A1_det","A2_norm","A2_rank","A2_cond","A2_det","W1_norm","W1_rank","W1_cond","W1_mean_chnage","W1_min_chnage","W1_max_chnage","W2_norm","W2_rank","W2_cond","W2_mean_chnage","W2_min_chnage","W2_max_chnage","strong_sat","soft_sat","linear_region"
0,0.224464092095006,NA,NA,NA,NA,NA,NA,NA,NA,2.51162679926722,2,1.97288693240416,NA,NA,NA,1.73716995800673,1,1,NA,NA,NA,0.00495238095238095,0.0488809523809524,0.195309523809524
1,4.39583189239519e-05,3.21122214335544,2,2.59980352044328,3.04883867899574,4.24793612669337,9,23951009936905932,8.09229194098035e-111,2.50805806504408,2,2.35621289334882,0.0114901118900863,0.000583743083314718,0.201798372178134,2.14811905977487,1,1,0.0388580896721453,0.0180836502140407,0.391577670695486,0.00379761904761905,0.0410119047619048,0.209488095238095
2,2.37668678292517e-05,3.29929752374351,2,2.70975815444255,3.1380888042034,4.1925035228909,9,24597733882919580,-4.49352507728375e-112,2.4959567669079,2,2.38752720237946,0.00315019426213061,0.000730387325692398,0.00722009721751346,2.39982807273117,1,1,0.0146071097763808,0.011313902879493,0.0201276703752971,0.00328571428571429,0.0407261904761905,0.212392857142857
3,2.02997087882245e-05,3.20878960163647,2,2.59155861918902,3.04682423312063,4.28461731267741,9,225063440333014464,-3.90935579529302e-112,2.48747044927941,2,2.43186061221344,0.00317415756748628,0.000478751212885616,0.00887725976571144,2.57338903266849,1,1,0.0105808458953703,0.00736349015703631,0.0131301965685206,0.00288095238095238,0.0404285714285714,0.215630952380952
4,1.26098642496323e-05,3.13471411977054,2,2.5082832662685,2.96986652322135,4.07048276233023,9,93085833029311760,-7.51899371168152e-114,2.47478842806921,2,2.48613874282979,0.00307743065196945,0.000598292928254426,0.00951214312023805,2.72275004747662,1,1,0.00991437704098666,0.00646366804536996,0.0152390121022501,0.00235714285714286,0.03975,0.220047619047619
5,1.11347986304641e-05,3.08254905557994,2,2.53093844326703,2.90646556583003,3.96953755072207,9,54408571621554080,-1.52548565461783e-114,2.47031702055708,2,2.56241374330085,0.00353610947994464,0.000254367850855553,0.0156611726563205,2.84110273230491,1,1,0.00891831664690491,0.00579504004913591,0.0139644213055878,0.00185714285714286,0.0396666666666667,0.224309523809524
6,2.17263103021769e-05,3.13700826850303,2,2.50944098649157,2.97234549703705,4.07739073815841,8,89438579543386064,-5.99986140136382e-116,2.45933077071809,2,2.59496613825566,0.00251186384486107,0.00066314626891575,0.00618045192755152,2.93150323218936,1,1,0.00824695352575404,0.0042248591932729,0.0384040555982488,0.00135714285714286,0.0388928571428571,0.227261904761905
7,1.19142579008243e-05,3.46441805985264,2,2.80092599563026,3.31655439763465,4.19187595404732,8,281946208764154944,-1.05986536027723e-116,2.44383370375561,2,2.61855645202006,0.00189376281146941,9.68850386843272e-05,0.00422433220364208,3.01797693089028,1,1,0.00831820776058208,0.00379172487214568,0.0203740567945812,0.000547619047619048,0.0384285714285714,0.230452380952381
8,7.03365726222935e-06,3.289044846063,2,2.64809309958834,3.13244981552222,4.07585721823244,8,640481829058452608,-1.79729213061108e-117,2.44063957576277,2,2.6767129459906,0.00339144218034253,0.000470192168728212,0.013648854454822,3.10333398335755,1,1,0.00854490569458064,0.0040039093976056,0.0166358130827756,0.000202380952380952,0.0382142857142857,0.233285714285714
9,8.70850343381213e-06,3.2524562416183,2,2.6555200351657,3.0902923067638,4.07954077763087,8,87708572856685792,-8.21966967884477e-119,2.41685189541088,2,2.69087765250404,0.00284284435961522,0.000539434962866341,0.00556434961077557,3.17503496268057,1,1,0.00823798068808048,0.00412027461984444,0.0157174049163312,0,0.0363095238095238,0.237630952380952
10,1.05628800989025e-05,3.3101795997807,2,2.78925611143381,3.13690342688615,4.20827802215195,8,183709779059653376,-7.01812977676774e-120,2.41709310248776,2,2.77415666329333,0.00266681135317216,0.000666424382336154,0.00965608422947873,3.24059039995259,1,1,0.00726614598540986,0.00351579476230488,0.0164988226195663,0,0.035702380952381,0.240452380952381
11,1.62427322317205e-05,3.2913034532719,2,2.71872549885391,3.12726399930628,3.88956662266741,8,21266404601152276,-1.12091627733822e-120,2.40754156163642,2,2.87426520050329,0.00319161131465223,0.00118269488747321,0.0105629290107146,3.31462076543088,1,1,0.00951385590668082,0.00326786449416554,0.0455186646645221,0,0.0340119047619048,0.246964285714286
12,1.31507450765059e-05,3.2153835090652,2,2.57536544259402,3.05527376874799,3.94501910124611,8,476910609949659392,-7.75383103548594e-123,2.39543665824826,2,2.91781118146102,0.00268918272968872,0.000885670462619167,0.00682615414639643,3.37872570398182,1,1,0.0072399790734862,0.00399219462279037,0.0164882772199602,0,0.0326190476190476,0.250690476190476
