"epoch","mse","A1_norm","A1_rank","A1_cond","A2_norm","A2_rank","A2_cond","W1_norm","W1_rank","W1_cond","W1_mean_chnage","W1_min_chnage","W1_max_chnage","W2_norm","W2_rank","W2_cond","W2_mean_chnage","W2_min_chnage","W2_max_chnage","strong_sat","soft_sat","linear_region"
0,2504.25898628104,NA,NA,NA,NA,NA,NA,2.51162679926722,2,1.97288693240416,NA,NA,NA,1.73716995800673,1,1,NA,NA,NA,0.00841666666666667,0.0358214285714286,0.106440476190476
1,1829.77237059579,3.21122214335544,2,2.59980352044328,4.87417592373567,2,48680494912059576,2.65088944470161,2,10209.9393231412,0.119184967665345,0.000291546275041451,1.36565744539509,1105.3970082623,1,1,58.7718907357463,14.7771200709503,92.6531504014819,0,0,0.0714285714285714
2,1839.2593484264,3.29929752374351,2,2.70975815444255,4.87193937788402,1,1001488866553276800,2.64982465831779,2,47553.3239438223,5.99788243867974e-05,2.18283821850985e-05,0.000218829731342803,1178.34560816704,1,1,3.44842568817597,1.46663022487486,11.1738615102569,0,0,0.0714285714285714
3,1839.60642991807,3.20878960163647,2,2.59155861918902,4.87103981150559,1,1305735205516643584,2.64939363329262,2,54098.0592802621,2.3427208510475e-05,1.4391734433877e-05,3.14324370093428e-05,1207.51566629671,1,1,1.50116337879988,1.23873905219964,2.09010230097886,0,0,0.0714285714285714
4,1840.29356124844,3.13471411977054,2,2.5082832662685,4.870208369106,1,773522333078801920,2.64900553335765,2,53534.3171164084,2.10761064900172e-05,1.27460101737583e-05,3.04152366834589e-05,1233.97554911857,1,1,1.42130414464214,1.11151858931271,2.25408998114095,0,0,0.0714285714285714
5,1844.59563886569,3.08254905557994,2,2.53093844326703,4.86936030960163,1,2189109570146529280,2.64860887764931,2,58099.6992680457,2.15717246771064e-05,1.4258240713255e-05,3.35303710020128e-05,1261.04428067287,1,1,1.44943852532517,1.12050160617142,2.13654158132933,0,0,0.0714285714285714
6,1839.28219966461,3.13700826850303,2,2.50944098649157,4.86864729947411,1,1.7916173042285e+19,2.64826668301328,2,55703.8162692371,1.86000260065379e-05,1.31374589000119e-05,2.77481333838871e-05,1285.26205736628,1,1,1.3312114662636,1.03380476658582,2.19696638443719,0,0,0.0714285714285714
7,1858.06729114314,3.46441805985264,2,2.80092599563026,4.86784784066672,1,12319998445831821312,2.64789053717519,2,61680.6601779478,2.04665073910707e-05,1.49543398144442e-05,2.75267972456426e-05,1311.61988931523,1,1,1.3113468464224,1.14845909702574,1.78850422892,0,0,0.0714285714285714
8,1842.10650186412,3.289044846063,2,2.64809309958834,4.86710528818472,1,1020382698374122240,2.64754002567258,2,60145.8916493439,1.90113880220668e-05,1.18452891254325e-05,2.32604567929136e-05,1336.06581115875,1,1,1.26090420307266,1.02808914298001,1.91309167379465,0,0,0.0714285714285714
9,1842.61866466109,3.2524562416183,2,2.6555200351657,4.86634874941176,1,630316242027790592,2.64718182369974,2,63967.0617015443,1.9501352857419e-05,1.57515532749155e-05,2.52501986812675e-05,1361.07299882782,1,1,1.20933832821806,1.06538673544657,1.62124016687733,0,0,0.0714285714285714
10,1844.95112776004,3.3101795997807,2,2.78925611143381,4.86566298962474,1,782624126156947712,2.64685567083208,2,64804.8971496491,1.77711486913231e-05,1.2078236888978e-05,2.32709124289751e-05,1384.28111996177,1,1,1.19884534195969,0.934264338486055,1.91499482877901,0,0,0.0714285714285714
11,1840.56102965403,3.2913034532719,2,2.71872549885391,4.86492043839282,1,1124376792078463872,2.646515519967,2,64148.579349645,1.84889440583193e-05,1.43028377511056e-05,2.28601302771041e-05,1407.84287720452,1,1,1.23335012215097,0.99420324059643,1.80630373196773,0,0,0.0714285714285714
12,1839.22076733576,3.2153835090652,2,2.57536544259402,4.86425928138899,1,56397051744799571968,2.64619903776461,2,64524.1463552701,1.72395967551135e-05,1.27167768938634e-05,2.20684430324878e-05,1430.40341999,1,1,1.20810667293691,0.888287238597032,2.00752541390831,0,0,0.0714285714285714
13,1839.14264434147,3.27508950722326,2,2.67820765714649,4.86358645069839,1,1938220207595254528,2.64588571286748,2,63147.2788496303,1.70405046548686e-05,1.14170268051327e-05,2.27720105894042e-05,1452.63240046272,1,1,1.21635131556939,0.906039446025894,2.23911643841049,0,0,0.0714285714285714
14,1839.20495105184,3.23880651718922,2,2.57244007803306,4.86290414251606,1,5544036550308274176,2.6455609771313,2,67239.7055404802,1.76845672584594e-05,1.13565656214096e-05,2.25125401385635e-05,1475.52501940044,1,1,1.11137092056958,0.933214049878446,1.73173827249509,0,0,0.0714285714285714
15,1845.34837943569,3.30926576837342,2,2.79082940729258,4.86230208142368,1,2085730212005759232,2.64527152663786,2,66533.9570883063,1.57977151509e-05,1.05309471777178e-05,2.15974336152087e-05,1496.55745341899,1,1,1.14267582305784,0.786771303657446,2.31384303930401,0,0,0.0714285714285714
16,1847.6735122481,3.05284957258927,2,2.40805125265144,4.86159971818321,1,674172004373744512,2.64494654433615,2,68584.9790702598,1.77019768680067e-05,1.0871857419829e-05,2.30981773657498e-05,1519.07292861502,1,1,1.20716479740228,0.942089660681594,2.04304273440182,0,0,0.0714285714285714
17,1842.0253124404,3.0842903133183,2,2.46302984668206,4.86096543974697,1,590030741571021952,2.6446457750147,2,69704.4466372332,1.63842471573745e-05,1.18681359032268e-05,2.35361227634547e-05,1540.65546207543,1,1,1.16075401600799,0.851764147610145,2.13661558528598,0,0,0.0714285714285714
18,1844.37353434948,3.28410921461385,2,2.75284581502912,4.86034029624167,1,678309525293417856,2.64434775362944,2,76470.2385106789,1.62490851511495e-05,1.23894499544594e-05,1.98120324807082e-05,1562.17160392233,1,1,1.09403147048993,0.864690998705414,1.52875940639636,0,0,0.0714285714285714
19,1840.43914409932,3.23716767078066,2,2.58102315107411,4.85971915443091,1,890978718151882112,2.6440593070695,2,77001.0257754155,1.57583987548342e-05,9.64681672121937e-06,2.02958614657598e-05,1582.89987937656,1,1,1.16144686797654,0.851049045319623,1.93670878419713,0,0,0.0714285714285714
